Coccidioidomycosis (valley fever) case data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
License: CC-BY 4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created 2015/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version: 0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Citation: Gorris ME, Cat LA, Matlock M, Ogunseitan OA, Treseder KK, Randerson JT, Zender CS. Coccidioidomycosis (valley fever) case data for the southwestern United States. Open Health Data 2018, In Review. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOI: TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Associated Publication: Gorris ME, Cat LA, Zender CS, Treseder KK, Randerson JT. Coccidioidomycosis dynamics in relation to climate in the southwestern Unites States. GeoHealth. 2018 Jan;2(1):6-24. https://doi.org/10.1002/2017GH000095 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Repository: https://github.com/valleyfever/valleyfevercasedata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,County,FIPS,2000/01,2000/02,2000/03,2000/04,2000/05,2000/06,2000/07,2000/08,2000/09,2000/10,2000/11,2000/12,2001/01,2001/02,2001/03,2001/04,2001/05,2001/06,2001/07,2001/08,2001/09,2001/10,2001/11,2001/12,2002/01,2002/02,2002/03,2002/04,2002/05,2002/06,2002/07,2002/08,2002/09,2002/10,2002/11,2002/12,2003/01,2003/02,2003/03,2003/04,2003/05,2003/06,2003/07,2003/08,2003/09,2003/10,2003/11,2003/12,2004/01,2004/02,2004/03,2004/04,2004/05,2004/06,2004/07,2004/08,2004/09,2004/10,2004/11,2004/12,2005/01,2005/02,2005/03,2005/04,2005/05,2005/06,2005/07,2005/08,2005/09,2005/10,2005/11,2005/12,2006/01,2006/02,2006/03,2006/04,2006/05,2006/06,2006/07,2006/08,2006/09,2006/10,2006/11,2006/12,2007/01,2007/02,2007/03,2007/04,2007/05,2007/06,2007/07,2007/08,2007/09,2007/10,2007/11,2007/12,2008/01,2008/02,2008/03,2008/04,2008/05,2008/06,2008/07,2008/08,2008/09,2008/10,2008/11,2008/12,2009/01,2009/02,2009/03,2009/04,2009/05,2009/06,2009/07,2009/08,2009/09,2009/10,2009/11,2009/12,2010/01,2010/02,2010/03,2010/04,2010/05,2010/06,2010/07,2010/08,2010/09,2010/10,2010/11,2010/12,2011/01,2011/02,2011/03,2011/04,2011/05,2011/06,2011/07,2011/08,2011/09,2011/10,2011/11,2011/12,2012/01,2012/02,2012/03,2012/04,2012/05,2012/06,2012/07,2012/08,2012/09,2012/10,2012/11,2012/12,2013/01,2013/02,2013/03,2013/04,2013/05,2013/06,2013/07,2013/08,2013/09,2013/10,2013/11,2013/12,2014/01,2014/02,2014/03,2014/04,2014/05,2014/06,2014/07,2014/08,2014/09,2014/10,2014/11,2014/12,2015/01,2015/02,2015/03,2015/04,2015/05,2015/06,2015/07,2015/08,2015/09,2015/10,2015/11,2015/12
AZ,Apache,4001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,1,2,0,0,0,0,1,0,1,1,1,1,1,3,0,0,0,2,2,1,0,0,1,1,4,2,2,4,0,2,3,0,2,2,1,1,1,0,3,3,1,0,4,1,2,1,2,2,2,0,0,1,1,1,2,0,3,1,4,2,0,1,1,3,1,0,1,1,1,2,1,2,1,1,1,2,1,1,0,1,1,1,0,1,0,4,3,0,1,4,2,4,3,1,0
AZ,Cochise,4003,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3,2,1,1,2,0,0,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,1,1,2,0,2,1,1,3,1,3,4,1,1,5,3,0,1,0,3,0,0,3,3,3,2,3,2,3,1,1,3,4,4,2,1,1,1,1,3,1,1,1,2,1,2,1,3,2,4,1,4,4,5,3,4,6,2,2,5,5,3,5,5,2,5,2,5,6,3,7,3,7,5,8,6,4,10,7,4,5,5,7,5,4,5,8,1,6,1,2,6,2,1,2,3,5,8,10,3,5,1,4,6,9,5,6,7,4,5,8,6,1,6,10,2,2,6,3,2,2,5,4,7,3,8,5,6,1,3
AZ,Coconino,4005,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,4,0,3,0,1,0,0,0,0,1,1,0,0,3,2,0,0,1,1,0,1,0,1,0,2,1,1,1,1,2,0,0,0,0,1,1,1,1,0,1,1,1,2,0,1,1,1,1,2,0,0,1,0,1,1,0,0,1,0,0,1,2,1,0,1,4,0,3,1,1,1,0,0,3,0,2,1,1,0,0,0,1,0,1,1,3,0,0,0,0,0,2,1,1,1,2,1,7,6,2,2,0,3,1,3,2,3,6,5,1,4,5,7,1,6,3,3,5,5,6,5,5,4,8,4,3,4,6,3,5,6,5,5,1,2,3,4,5,6,2,0,0,0,1,2,1,0,2,5,1,6,2,3,2,2,4,0,3,1,2,2,3,1,1,2,3,2,2,1,2,7,6,3,1
AZ,Gila,4007,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,3,0,0,1,1,2,4,0,1,2,2,0,2,3,2,1,0,2,2,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,2,0,1,0,2,1,0,1,0,0,0,0,1,1,0,3,0,0,0,0,1,2,3,1,2,1,0,0,1,3,1,1,3,1,0,1,1,2,0,1,1,4,0,1,0,2,2,3,1,2,1,1,0,2,1,1,2,0,2,1,2,4,6,2,2,6,3,7,6,3,2,6,1,3,6,2,4,2,4,3,2,2,3,4,5,4,8,5,8,1,5,2,5,3,4,3,3,7,4,6,3,6,4,4,3,4,3,3,4,3,2,2,4,4,2,0,1,2,5,4,7,0,2,2,2,4,5,2,3,1,3,7,2,11,9,0,3,3,6
AZ,Graham,4009,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,0,1,0,0,1,0,1,4,1,6,1,2,2,0,1,1,1,0,0,2,1,2,3,4,1,0,3,2,2,2,0,0,1,0,0,1,2,2,2,7,3,1,1,1,1,0,2,2,0,4,3,0,0,0,1,0,1,2,1,0,2,2,2,0,1,0,0,2,1,2,0,2,2,1,2,4,1,1,1,1,0,1,5,3,2,3,3,4,2,3,5,0,7,3,3,3,1,1,5,1,3,6,6,3,2,0,3,0,2,2,2,2,1,0,1,1,2,3,0,1,2,2,1,0,3,1,0,1,1,1,1,0,2,3,1,2,1,2,0,3,1,2,2,1,1,0
AZ,Greenlee,4011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,2,0,0,0,0,0,1
AZ,La Paz,4012,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,2,1,0,0,1,1,0,0,0,0,1,1,3,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,1,1,0,1,1,1,0,0,1,3,2,0,1,0,0,0,0,1,2,1,1,1,1,1,1,1,0,0,1,0,2,0,3,3,0,0,1,2,1,1,2,2,1,0,0,0,0,1,1,0,0,0,1,2,1,3,1,2,3,0,0,0,1,3,0,4,4,2,3,2,1,0,2,4,0,1,2,4,5,7,5,4,3,3,3,6,2,4,2,4,2,4,4,0,3,3,1,0,2,0,0,6,2,1,2,0,1,0,2,0,1,2,1,0,4,2,2,2,1,5,0,0,0,1,0,2,1,1,1,0,1,1,3,0,0,1,2,1,3
AZ,Maricopa,4013,166,132,126,87,109,124,123,118,62,141,109,88,104,72,90,77,83,90,115,130,108,103,307,437,255,180,162,224,181,150,173,166,127,166,231,320,222,138,135,130,92,114,181,180,171,209,142,305,226,271,196,166,160,209,239,272,262,221,278,202,135,124,96,131,172,141,152,217,161,230,391,511,221,414,526,403,305,330,353,340,193,221,298,605,326,309,280,288,245,233,296,282,208,255,354,379,304,302,235,248,315,229,246,226,260,243,352,546,424,246,287,287,361,1009,898,799,924,866,1076,910,736,646,735,552,663,703,673,774,727,915,1085,1251,1178,1030,1145,1101,1099,1124,1112,1272,958,994,1200,1192,1056,852,1089,1239,1078,1018,882,587,494,637,713,501,495,352,205,257,283,292,308,338,301,330,473,480,390,441,431,382,436,339,234,221,264,226,204,332,235,268,294,352,411,373,518,524,692,572,540,548
AZ,Mohave,4015,0,2,0,1,2,3,2,0,3,2,3,6,3,2,1,0,3,0,3,0,1,5,4,2,1,3,6,1,2,1,1,3,2,1,6,1,1,1,3,1,0,3,1,6,7,5,8,4,3,4,2,4,2,5,2,7,6,3,2,2,3,5,3,3,3,3,1,2,3,5,1,7,5,7,2,3,3,5,4,6,6,2,3,3,5,3,8,5,4,3,3,3,3,3,5,2,1,7,4,1,3,2,3,3,8,9,7,11,2,3,4,2,6,5,10,11,7,7,8,12,12,8,10,8,9,13,10,6,11,10,7,14,10,15,10,11,16,13,11,9,6,12,10,17,16,8,17,10,11,7,11,6,4,10,4,5,5,5,6,4,6,2,5,4,5,4,7,7,7,4,5,2,6,7,6,3,3,4,4,3,6,1,2,1,2,8,6,4,8,11,6,5
AZ,Navajo,4017,2,2,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,3,2,3,1,2,1,0,0,2,0,1,0,2,0,0,1,0,0,1,0,2,0,4,2,1,2,1,0,1,1,1,2,0,0,1,0,1,2,1,0,2,0,2,2,3,1,1,0,1,0,0,1,0,0,2,2,2,0,1,3,9,1,5,4,2,1,1,2,4,2,0,3,5,3,1,5,5,1,3,8,5,5,1,5,3,8,6,3,3,4,5,7,1,4,2,3,3,2,3,1,3,8,2,5,7,4,2,2,3,4,1,0,2,1,5,2,3,4,2,4,2,2,1,1,1,2,5,7,3,3,5,5,5,8,5,13,4,3,3
AZ,Pima,4019,37,29,30,37,39,43,26,24,14,30,22,18,24,24,10,27,23,30,43,38,35,32,56,66,58,33,37,38,46,39,55,83,41,35,46,64,56,35,23,27,34,26,50,72,32,27,25,42,49,48,40,27,35,62,87,56,62,62,80,54,46,46,45,40,37,69,50,117,61,58,87,94,56,86,87,76,84,92,112,81,50,40,61,72,68,53,49,55,72,64,97,82,48,72,107,137,95,68,43,55,41,63,66,53,75,63,66,122,63,53,51,64,65,165,162,122,149,126,155,147,110,95,101,68,91,127,113,139,105,134,174,174,181,111,154,143,155,147,148,145,105,111,141,124,127,136,155,163,134,155,145,100,99,110,126,107,123,74,42,60,69,90,87,78,81,71,115,113,117,84,84,70,91,79,54,60,57,65,56,56,92,71,61,66,93,122,123,100,150,117,115,87
AZ,Pinal,4021,8,14,11,15,8,4,6,10,2,11,5,10,4,10,5,10,5,5,6,9,6,4,7,13,8,20,4,9,8,2,9,8,6,9,15,12,12,3,11,2,1,4,5,14,14,13,8,13,8,11,4,7,15,23,13,15,8,16,16,16,11,12,9,7,4,8,8,17,13,10,19,39,16,27,26,23,13,14,20,18,11,12,15,30,30,27,24,26,14,25,10,18,13,19,28,21,19,25,17,23,22,11,27,18,24,13,19,34,26,22,24,19,31,58,57,47,51,42,63,70,42,41,39,35,37,37,49,40,45,61,54,84,74,69,68,83,70,74,66,76,46,64,59,71,62,71,77,82,72,81,85,50,31,51,62,52,47,40,16,16,35,32,31,38,27,31,38,58,43,37,53,47,53,43,23,39,27,21,28,38,33,31,33,48,48,49,62,67,73,76,72,65
AZ,Santa Cruz,4023,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,2,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,0,1,1,0,0,0,0,1,0,1,2,0,2,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,2,2,1,1,5,1,2,0,3,0,1,2,2,1,0,0,2,1,0,1,5,0,1,1,3,3,2,2,1,1,0,3,2,3,2,5,1,0,0,2,1,0,2,0,0,1,0,1,2,0,3,3,3,4,2,3,1,0,3,1,0,1,1,1,0,1,1,1,1,1,1,4,2,0,1,0,1,1
AZ,Yavapai,4025,4,1,1,2,0,1,3,1,3,1,1,0,0,1,1,1,0,2,0,0,1,0,1,1,0,1,0,0,1,0,3,0,4,0,0,0,0,0,1,3,2,1,1,2,2,3,5,3,0,1,0,2,1,3,3,3,1,2,5,1,0,3,1,3,2,1,3,3,0,6,2,1,0,1,4,5,6,2,2,3,1,0,1,4,0,3,2,3,0,1,5,2,3,4,2,1,1,0,2,1,1,3,2,3,1,3,1,5,1,4,3,4,2,3,5,5,6,7,6,4,6,3,3,5,2,4,1,0,1,4,4,6,4,3,4,5,6,9,5,6,3,4,6,4,6,5,5,3,5,8,2,6,6,1,4,2,4,9,2,3,3,3,5,3,1,6,2,6,5,4,1,3,3,4,2,2,5,1,5,3,5,4,4,3,4,6,7,3,6,3,9,7
AZ,Yuma,4027,2,3,1,1,1,0,0,1,0,0,0,0,1,0,4,0,1,0,0,0,1,1,2,1,0,2,1,3,1,0,0,0,0,1,1,2,1,1,3,0,1,0,0,0,2,0,0,3,1,1,2,2,1,0,1,1,1,0,1,2,1,1,2,1,2,3,2,0,0,1,0,2,3,2,4,2,0,3,2,0,4,2,2,3,0,1,4,1,1,1,0,1,0,3,1,0,0,2,0,1,0,0,1,0,0,0,2,1,1,0,0,0,3,2,2,0,1,1,0,2,3,2,0,0,3,0,3,2,1,1,3,3,4,4,3,0,0,3,5,1,3,3,1,3,1,3,2,5,3,3,5,2,2,0,4,3,5,2,6,1,0,3,1,1,1,3,1,1,5,1,1,5,2,0,2,4,1,2,1,1,1,0,1,3,5,3,6,9,2,2,3,5
CA,Alameda,6001,1,3,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,3,2,1,0,1,0,0,1,1,1,1,3,1,2,0,0,1,0,1,0,1,1,1,2,1,3,2,2,1,3,2,3,0,5,3,3,5,2,2,2,10,0,2,2,1,2,1,0,4,0,2,4,1,2,1,1,5,3,1,0,3,4,2,4,0,0,3,1,2,1,0,0,0,1,3,2,0,0,1,0,2,2,3,0,4,4,4,3,4,1,0,2,2,0,1,2,1,5,4,2,4,0,1,0,2,3,1,2,2,1,3,0,1,2,2,1,1,4,3,7,3,3,2,4,4,2,4,0,1,1,4,2,1,2,1,1,0,3,2,2,6,6,7,5,6,4
CA,Alpine,6003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Amador,6005,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0
CA,Butte,6007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Calaveras,6009,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Colusa,6011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CA,Contra Costa,6013,1,2,3,1,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,2,3,3,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,2,1,1,1,3,0,0,3,0,2,3,0,2,1,3,3,2,0,3,2,0,1,2,0,1,2,5,1,2,3,6,0,3,2,1,2,1,2,2,2,5,2,3,1,2,1,3,3,3,0,0,0,2,0,1,1,1,0,0,0,1,2,2,0,1,0,3,0,3,1,0,0,2,1,1,2,1,2,0,0,1,1,0,1,2,0,5,3,1,0,4,2,1,4,3,6,1,2,3,1,4,4,3,1,4,6,3,3,2,0,0,2,1,2,1,5,4,4,6,2,2,2,3,3,3,3,3,0,3,2,6,0,4,4,3,1,0,2,4,7,6,2,1,2,5,3,8,5,3
CA,Del Norte,6015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
